heart_count,quote
14,"But the most dangerous Hypocrite in a Common-Wealth, is one who leaves the Gospel for the sake of the Law: A Man compounded of Law and Gospel, is able to cheat a whole Country with his Religion, and then destroy them under Colour of Law: And here the Clergy are in great Danger of being deceiv'd, and the People of being deceiv'd by the Clergy, until the Monster arrives to such Power and Wealth, that he is out of the reach of both, and can oppress the People without their own blind Assistance."
9,"If by the liberty of the press were understood merely the liberty of discussing the propriety of public measures and political opinions, let us have as much of it as you please: But if it means the liberty of affronting, calumniating and defaming one another, I, for my part, own myself willing to part with my share of it, whenever our legislators shall please so to alter the law and shall chearfully consent to exchange my liberty of abusing others for the privilege of not being abused myself."
88,Diligence is the mother of good luck.
21,"There are three things extremely hard: steel, a diamond, and to know one's self."
73,Be civil to all; serviceable to many; familiar with few; friend to one; enemy to none.
19,We should make the poor uncomfortable and kick them out of poverty.
7,It is hard for an empty bag to stand upright.
25,God helps them that help themselves.
54,Do not fear mistakes. You will know failure. Continue to reach out.
69,Take a coin from your purse and invest it in your mind. It will come pouring out of your mind and overflow your purse.
12,Those who desire to give up freedom in order to gain security will not have either one.
20,Content makes poor men rich; discontent makes rich men poor.
40,Never leave that till tomorrow which you can do today.
23,"Trouble knocked at the door, but, hearing laughter, hurried away"
16,Don't judge men's wealth or godliness by their Sunday appearance.
38,Take time for all things: great haste makes great waste.
5,"You can not pluck roses without fear of thorns, Nor enjoy a fair wife without danger of horns."
7,"I would rather have it said, 'He lived usefully,' than, 'He died rich.'"
17,I fear the man who drinks water and so remembers this morning what the rest of us said last night
87,"Be at war with your vices, at peace with your neighbors, and let every new year find you a better man."
8,The discontented man finds no easy chair.
17,"Disdain the chain, preserve your freedom; and maintain your independency: be industrious and free; be frugal and free."
24,Rebellion to tyrants is obedience to God.
40,"He that best understands the world, least likes it"
5,The most acceptable service of God is doing good to man.
15,"A wise man will desire no more than what he may get justly, use soberly, distribute cheerfully, and leave contently."
61,"Write your injuries in dust, your benefits in marble."
5,Trusting too much to others care is the ruin of many.
5,The tongue offends and the ears get the cuffing
20,Plough deep while sluggards sleep.
95,"There are three faithful friends - an old wife, an old dog, and ready money."
5,An undutiful daughter will prove an unmanageable wife.
10,"Waste neither time nor money, but make the best use of both."
7,There never was a truly great man that was not at the same time truly virtuous.
21,The doors of wisdom are never shut.
3,"We are all born without knowledge, but curious. With curiosity we should be able to learn as much as possible. With curiosity, it has to take a lot of work to remain ignorant."
15,Every pot must sit on its own bottom.
10,"That there is one God, who made all things. That he governs the world by his providence. That he might be worshipped by adoration, prayer, and thanksgiving. But that the most acceptable service of God is doing good to Man. That the Soul is immortal. And that God will certainly reward virtue and punish vice, either here or hereafter."
6,"Industry pays debts, while despair increases them."
8,"Keep conscience clear, then never fear."
7,He that composes himself is wiser than he that composes a book.
5,"None but the well-bred man knows how to confess a fault, or acknowledge himself in an error."
5,"I believe there is one Supreme most perfect being. [...] I believe He is pleased and delights in the happiness of those He has created; and since without virtue man can have no happiness in this world, I firmly believe He delights to see me virtuous."
15,"Promises may get thee friends, but non-performance will turn them into enemies."
3,A true friend is the greatest possesion.
20,"I have found Christian dogma unintelligible. Early in life, I absenteed myself from Christian assemblies."
17,"[T]he more public provisions were made for the poor, the less they provided for themselves, and of course became poorer . . . [taking] away from before their eyes the greatest of all inducements to industry, frugality, and sobriety, by giving them a dependence of somewhat else than a careful accumulation during youth and health for support in age and sickness."
3,"In New England they once thought blackbirds useless, and mischievous to the corn. They made efforts to destroy them. The consequence was, the blackbirds were diminished; but a kind of worm, which devoured their grass, and which the blackbirds used to feed on, increased prodigiously; then, finding their loss in grass much greater than their saving in corn, they wished again for their blackbirds."
30,I would advise you to read with a pen in your hand and enter in a little book short hints of what you feel that is common or that may be useful; for this will be the best method of imprinting such portcullis in your memory.
73,"At twenty years of age the will reigns; at thirty, the wit; and at forty, the judgment."
10,He's the best physician that knows the worthlessness of most medicines.
7,"Wise men learn by others' harms, fools scarcely by their own."
26,"The securest place is a prison cell, but there is no liberty"
28,"Poverty wants some things, Luxury many things, Avarice all things"
8,"A Bible and a newspaper in every house, a good school in every district; all studied and appreciated as they merit; are the principal support of virtue, morality, and civil liberty."
7,Reading was the only amusement I allowed myself
26,What can laws do without morals?
19,Nothing is more fatal to health than an over care of it.
9,"To be humble to superiors is a duty, to equals courtesy, to inferiors nobleness."
4,"The problem with common sense is, it isn't."
209,"Masonic labor is purely a labor of love. He who seeks to draw Masonic wages in gold and silver will be disappointed. The wages of a Mason are in the dealings with one another; sympathy begets sympathy, kindness begets kindness, helpfulness begets helpfulness, and these are the wages of a Mason."
12,Words may show a man's wit but actions his meaning.
76,"My refusing to eat meat occasioned inconveniency, and I have been frequently chided for my singularity. But my light repast allows for greater progress, for greater clearness of head and quicker comprehension."
26,A learned blockhead is a greater blockhead than an ignorant one.
36,"Keep your eyes wide open before marriage, half shut afterwards."
10,Moderation in all things - including moderation.
15,The cat in gloves catches no mice.
18,"Observe all men, thyself most."
51,"Three may keep a secret, if two of them are dead."
13,The way to be safe is never to be secure.
38,The best investment is in the tools of one's own trade.
86,"Behold the rain which descends from heaven upon our vineyards; there it enters the roots of the vines, to be changed into wine; a constant proof that God loves us, and loves to see us happy."
23,"He that speaks much, is much mistaken."
22,It is better to take many injuries than to give one.
44,He that goes a borrowing goes a sorrowing.
5,"In America, they do not inquire of a stranger, ""What is he?"" but, ""What can he do?"""
62,An investment in knowledge pays the best interest.
40,"Those things that hurt, instruct."
12,"For having lived long, I have experienced many instances of being obliged, by better information or fuller consideration, to change opinions, even on important subjects, which I once thought right but found to be otherwise."
9,"To err is human, to repent divine; to persist devilish."
13,"Where there's marriage without love, there will be love without marriage."
51,"As to Jesus of Nazareth, my opinion of whom you particularly desire, I think the system of Morals and his Religion, as he left them to us, the best the World ever saw or is likely to see; but I apprehend it has received various corrupting Changes; and I have, with most of the present Dissenters in England, some doubts as to his divinity."
23,Leisure is the time for doing something useful.
3,Little leaks sink the ship.
7,Wish not so much to live long as to live well.
15,"Industry, perseverance, and frugality make fortune yield."
5,"I have thought that wild flowers might be the alphabet of angels, — whereby they write on hills and fields mysterious truths, which it is not given our fallen nature to understand."
10,"Glass, China, and Reputation, are easily cracked, and never well mended."
13,Necessity never made a good bargain.
6,A full Belly brings forth every Evil.
22,It is the religion of ignorance that tyranny begins.
29,"Pride that dines on vanity, sups on contempt."
13,"In 1736 I lost one of my sons, a fine boy of four years old, by the small-pox, taken in the common way. I long regretted bitterly, and still regret that I had not given it to him by inoculation. This I mention for the sake of parents who omit that operation, on the supposition that they should never forgive themselves if a child died under it; my example showing that the regret may be the same either way, and that, therefore, the safer should be chosen."
24,Why ruin a young girl's life when you can make an older women SO very happy !
22,"Let every fart count as a peal of thunder for liberty. Let every fart remind the nation of how much it has let pass out of its control. It is a small gesture, but one that can be very effective - especially in a large crowd. So fart, and if you must, fart often. But always fart without apology. Fart for freedom, fart for liberty - and fart proudly."
14,"If you wish information and improvement from the knowledge of others, and yet at the same time express yourself as firmly fix'd in your present opinions, modest, sensible men, who do not love disputation, will probably leave you undisturbed in the possession of your error."
8,It is foolish to lay out money for the purchase of repentance.
15,"There never was a good war, or a bad peace."
12,"I have lived, Sir, a long time, and the longer I live, the more convincing proofs I see of this truth — that God governs in the affairs of men."
7,When circumstances don't fit our ideas they become our difficulties
6,"If you'd be wealthy, think of saving, more than of getting: The Indies have not made Spain rich, because her Outgoes equal her Incomes."
5,One of the greatest tragedies of life is the murder of a beautiful theory by a gang of brutal facts.
17,"If you would keep your secret from an enemy, tell it not to a friend."
84,Energy and persistence conquer all things.
7,"After all, wedlock is the natural state of man. A bachelor is not a complete human being. He is like the odd half of a pair of scissors, which has not yet found its fellow, and therefore is not even half so useful as they might be together."
20,Whoever shall introduce into public affairs the principles of primitive Christianity will change the face of the world.
9,To cease to think creatively is to cease to live
18,"The second vice is lying, the first is running in debt."
11,Are you angry that others disappoint you? Remember you cannot depend upon yourself.
3,"But our great security lies, I think, in our growing strength."
6,"Read much, but not too many books."
67,Creditors have better memories than debtors.
5,Getting it done is my reward.
7,"Human happiness comes not from infrequent pieces of good fortune, but from the small improvements to daily life."
8,If Men are so wicked as we now see them with Religion what would they be if without it?
100,Lighthouses are more helpful than churches.
11,"Let the child's first lesson be obedience, and the second will be what thou wilt."
16,"Don't go to the doctor with every distemper, nor to the lawyer with every quarrel, nor to the pot for every thirst."
149,They who can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety.
91,It is the working man who is the happy man. It is the idle man who is the miserable man.
12,"Silence is not always a sign of wisdom, but babbling is ever a mark of folly."
6,"Thank God! we are in the full enjoyment of all these privileges. But can we be taught to prize them too much? or how can we prize them equal to their value, if we do not know their intrinsic worth, and that they are not a gift bestowed upon us by other men, but a right that belongs to us by the laws of God and nature?"
14,"By playing at Chess then, we may learn:     First: Foresight...    Second: Circumspection...    Third: Caution...And lastly, we learn by Chess the habit of not being discouraged by present bad appearances in the state of our affairs, the habit of hoping  for a favorable chance, and that of persevering in the secrets of resources"
18,There is no little enemy
8,If you have time don't wait for time.
27,"You made delay, but time will not, and lost time is never found again."
22,Reckless youth makes rueful age.
6,"In the beginning of the contest with Britain, when we were sensible of danger, we had daily prayers in this room for Divine protection,"" he stated. ""Our prayers, Sir, were heard, and they were graciously answered. ... Do we imagine we no longer need His assistance?"
18,In success be moderate. Humility makes great men twice honourable.
9,Who is rich? He that rejoices in his portion.
8,Hunger never saw bad bread.
12,He was so learned that he could name a horse in nine languages; so ignorant that he bought a cow to ride on.
56,A penny saved is a penny earned.
13,A man wrapped up in himself makes a very small bundle.
24,Don't put off until tomorrow what you can do today.
7,An honest Man will receive neither Money nor Praise that is not his due.
6,"He that is rich need not live sparingly,
and he that can live sparingly need not be rich."
26,"Sloth, like rust, consumes faster than labor wears, while the used key is always bright."
29,"I therefore beg leave to move that henceforth prayers imploring the assistance of Heaven, and its blessing on our deliberations, be held in this Assembly every morning."
14,"One good husband is worth two good wives, for the scarcer things are, the more they are valued."
4,It is a bad temper of mind that takes delight in opposition.
21,Practice makes perfect.
19,There will be sleeping enough in the grave.
16,"When men differ in opinion, both sides ought equally to have the advantage of being heard by the public; when Truth and Error have fair play, the former is always an overmatch for the latter."
16,"The world is full of fools and faint hearts; and yet everyone has courage enough to bear the misfortunes, and wisdom enough to manage the affairs, of his neighbor."
4,"Industry need not wish, and he that lives upon hopes will die fasting. There are no gains without pains. He that hath a trade hath an estate, and he that hath a calling hath an office of profit and honor; but then the trade must be worked at and the calling followed, or neither the estate nor the office will enable us to pay our taxes. If we are industrious, we shall never starve; for at the workingman's house hunger looks in, but dares not enter. Nor will the bailiff or the constable enter, for industry pays debts, while idleness and neglect increase them."
32,"Laws too gentle are seldom obeyed; too severe, seldom executed."
11,He that won't be counseled can't be helped.
30,"That is simple. In the Colonies we issue our own money. It is called Colonial Scrip. We issue it in proper proportion to the demands of trade and industry to make the products pass easily from the producers to the consumers. In this manner creating for ourselves our own paper money, we control its purchasing power, and we have no interest to pay."
8,"Money never made a man happy yet, nor will it. There is nothing in its nature to produce happiness. The more a man has, the more he wants. Instead of its filling a vacuum, it makes one. If it satisfies one want, it doubles and trebles that want another way. That was a true proverb of the wise man, rely upon it; Better is little with the fear of the Lord, than great treasure, and trouble therewith."
7,"One Man may be more cunning than another, but not more cunning than every body else."
4,"In other men we faults can spy,/ And blame the mote that dims their eye;/ Each little speck and blemish find;/ To our own stronger errors blind."
11,Remember that credit is money.
6,A quarrelsome man has no good neighbours.
19,"A man in a passion, rides a mad horse."
15,"Happiness consists more in small conveniences or pleasures that occur every day, than in great pieces of good fortune that happen but seldom to a man in the course of his life."
18,"Women and wine, game and deceit, make the wealth small, and the want great"
9,No European who has tasted savage life can afterwards bear to live in our societies.
19,"You will observe with concern how long a useful truth may be known, and exist, before it is generally received and practiced on."
13,"Pen, wax and parchment govern the world."
13,"When you incline to have new clothes, look first well over the old ones, and see if you cannot shift with them another year, either by scouring, mending, or even patching if necessary. Remember, a patch on your coat, and money in your pocket, is better and more creditable, than a writ on your back, and no money to take it off."
8,"A little neglect may breed great mischief. ... For want of a nail, the shoe was lost; for want of a shoe, the horse was lost; for want of a horse, the battle was lost; for want of the battle, the war was lost."
17,The best is the cheapest.
10,"But the eyes of other people are the eyes that ruin us. If all but myself were blind, I should want neither fine clothes, fine houses nor fine furniture."
7,The absent are never without fault. Nor the present without excuse.
8,"Eat few suppers, and you'll need few medicines."
13,"If you know how to spend less than you get, you have the philosopher's stone."
24,Fatigue is the best pillow.
89,"If you would be wealthy, think of saving as well as getting."
