heart_count,quote
54,Woman begins by resisting a man's advances and ends by blocking his retreat.
25,To live in this world is a rare thing; most people just exist.
76,"I don't want to be at the mercy of my emotions. I want to use them, to enjoy them, and to dominate them."
11,"You know more than you think you know, just as you know less than you want to know."
65,Any place that we love becomes our world.
51,"I have nothing to declare but my genius, and this four-kilo bag of cocaine."
48,A writer is someone who has taught his mind to misbehave.
46,When I was young I thought that money was the most important thing in life; now that I am old I know that it is.
33,"To get back my youth I would do anything in the world, except take exercise, get up early, or be respectable."
14,History is a lie commonly agreed upon.
37,A gentleman is one who never hurts anyone's feelings unintentionally.
9,Without order nothing can exist-without chaos nothing can evolve. Nowadays people know the price of everything and the value of nothing.
75,An excellent man; he has no enemies; and none of his friends like him.
52,Love is a misunderstanding between two fools.
18,To expect the unexpected shows a thoroughly modern intellect.
29,"Thinking is wonderful, but the experience is even more wonderful."
9,"we always misunderstood ourselves, and rarely understood others"
19,I beg your pardon I didn't recognise you - I've changed a lot.
4,"We are all in the gutter, but some of us are looking at the stars. We all have clouds above us but some see their silver linings. We all face difficulties but some of us are grateful that they aren't worse."
11,I see when men love women. They give them but a little of their lives. But women when they love give everything.
36,The heart was made to be broken.
23,A man who marries his mistress leaves a vacancy in that position.
44,To love oneself is the beginning of a lifelong romance.
12,The advantage of the emotions is that they lead us astray.
62,"Nowadays, saying what you really think can be a serious error since one risks being misunderstood."
57,Art is the only serious thing in the world. And the artist is the only person who is never serious.
25,The very essence of romance is uncertainty.
16,"No great artist ever sees things as they really are. If he did, he would cease to be an artist."
41,A bore is someone who deprives you of solitude without providing you with company.
100,"Women are meant to be loved, not to be understood."
15,Don't give a woman advice; one should never give a woman anything she can't wear in the evening.
79,"Success is a science; if you have the conditions, you get the result."
44,Patriotism is the virtue of the vicious.
56,Those whom the gods love grow young.
44,"If a man treats life artistically, his brain is his heart."
50,I walk the world in wonder.
15,"I am one of those who are made for exceptions, not for laws."
148,How can a woman be expected to be happy with a man who insists on treating her as if she were a perfectly normal human being.
26,I drink to separate my body from my soul.
9,The only way a woman can ever reform a man is by boring him so completely that he loses all possible interest in life.
60,"Pleasure is the only thing one should live for, nothing ages like happiness."
61,"Loveless marriages are horrible. But there is one thing worse than an absolutely loveless marriage. A marriage in which there is love, but on one side only; faith, but on one side only; devotion, but on one side only, and in which of the two hearts one is sure to be broken."
4,I wonder that no criminal has ever pleaded the ugliness of your city as an excuse for his crimes.
32,"There are only two tragedies in life: one is not getting what one wants, and the other is getting it."
54,A man who takes himself too seriously will find that no one else takes him seriously.
113,"The only difference between the saint and the sinner is that every saint has a past, and every sinner has a future."
65,"Ah! realize your youth while you have it. Don’t squander the gold of your days, listening to the tedious, trying to improve the hopeless failure, or giving away your life to the ignorant, the common, and the vulgar. These are the sickly aims, the false ideals, of our age. Live! Live the wonderful life that is in you! Let nothing be lost upon you. Be always searching for new sensations. Be afraid of nothing."
24,One does not see anything until one sees its beauty.
49,Society often forgives the criminal; it never forgives the dreamer.
16,Beauty is the only thing that time cannot harm.
61,It is what you read when you don't have to that determines what you will be when you can't help it.
8,Most people are boring and stupid.
132,"You have killed my love. You used to stir my imagination. Now you don't even stir my curiosity. You simply produce no effect. I loved you because you were marvelous, because you had genius and intellect, because you realized the dreams of great poets and gave shape and substance to the shadows of art. You have thrown it all away. You are shallow and stupid"
15,"A man who moralizes is a hypocrite, and a woman who does so is invariably plain."
73,"My wish isn't to mean
 everything to everyone
 but something to someone."
25,"When bankers get together they talk about art. When artists get together, they talk about money."
31,In America the young are always ready to give to those who are older than themselves the full benefits of their inexperience.
11,When the gods wish to punish us they answer our prayers.
44,A dreamer is one who can only find his way by moonlight.
29,The curves of your lips rewrite history.
58,Hearts Live By Being Wounded
21,"The only way to get rid of a temptation is to yield to it. Resist it, and your soul grows sick with longing for the things it has forbidden to itself, with desire for what its monstrous laws have made monstrous and unlawful."
33,"No man dies for what he knows to be true. Men die for what they want to be true, for what some terror in their hearts tells them is not true."
88,"Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth."
5,Those who have much are often greedy. Those who have little always share.
30,Illusion is the first of all pleasures.
12,One should always be a little improbable.
34,Some things are too important to be taken seriously.
47,Fashion is a form of ugliness so intolerable that we have to alter it every six months.
44,There is no sin except stupidity.
70,"Behind every exquisite thing that existed, there was something tragic."
19,"Men marry because they are tired; women, because they are curious; both are disappointed."
66,The books that the world calls immoral are books that show the world its own shame.
87,Art is the most intense mode of individualism that the world has known.
65,Art only begins where Imitation ends.
27,"Yet each man kills the thing he loves, By each let this be heard, Some do it with a bitter look, Some with a flattering word, The coward does it with a kiss, The brave man with a sword! Some kill their love when they are young, And some when they are old; Some strangle with the hands of Lust, Some with the hands of Gold: The kindest use a knife, because The dead so soon grow cold. Some love too little, some too long, Some sell, and others buy; Some do the deed with many tears, And some without a sigh: For each man kills the thing he loves, Yet each man does not die."
49,I can't stand people that do not take food seriously.
70,The good we get from art is not what we learn from it; it is what we become through it.
40,Looking good and dressing well is a necessity. Having a purpose in life is not.
28,"I have learned this: it is not what one does that is wrong, but what one becomes as a consequence of it."
13,"Hatred is blind, as well as love."
44,I like hearing myself talk. It is one of my greatest pleasures. I often have long conversations all by myself. Sometimes I am so clever I don't understand a single word of what I am saying.
61,"It seems to me that we all look at Nature too much, and live with her too little."
31,"When a love comes to an end, weaklings cry, efficient ones instantly find another love, and the wise already have one in reserve."
71,I don't at all like knowing what people say of me behind my back. It makes me far too conceited.
18,Wisdom is to have dreams big enough not to lose sight when we pursue them.
70,"There are only two kinds of people who are really fascinating - people who know absolutely everything, and people who know absolutely nothing."
27,The simplicity of your character makes you exquisitely incomprehensible to me.
31,"Art is individualism, and individualism is a disturbing and disintegrating force. There lies its immense value. For what it seeks is to disturb monotony of type, slavery of custom, tyranny of habit, and the reduction of man to the level of a machine. It seeks to show new perspectives and other choices. It is a way to help expand and liberate the consciousness; our experiences, understandings, imaginings, options and thereby our lives."
42,Moderation is a fatal thing. Nothing succeeds like excess.
16,Some things are more precious because they don't last long.
11,Life is too short to be in a hurry.
21,"I don't want to earn my living, I want to live."
42,It is better to be beautiful than to be good. But... it is better to be good than to be ugly.
43,"What fire does not destroy, it hardens"
15,You will always be fond of me. I represent to you all the sins you have never had the courage to commit.
37,The best way to make children good is to make them happy.
6,What a pity that in life we only get our lessons when they are of no use to us.
35,Wickedness is a myth invented by good people to account for the curious attractiveness of others.
68,"To do nothing at all is the most difficult thing in the world, the most difficult and the most intellectual."
21,Women are never disarmed by compliments. Men always are. That is the difference between the sexes.
22,The secret of life is in art.
46,"The sick do not ask if the hand that smoothes their pillow is pure, nor the dying care if the lips that touch their brow have known the kiss of sin."
8,"But what is the good of friendship if one cannot say exactly what one means? Anybody can say charming things and try to please and to flatter, but a true friend always says unpleasant things, and does not mind giving pain. Indeed, if he is a really true friend he prefers it, for he knows that then he is doing good."
6,I am a man of simple pleasures. The best suits me perfectly.
45,A mask tells us more than a face.
36,I have spent most of the day putting in a comma and the rest of the day taking it out.
24,"It takes great deal of courage to see the world in all its tainted glory, and still to love it."
12,"They get up early, because they have so much to do, and go to bed early, because they have so little to think about."
19,"But we never get back our youth… The pulse of joy that beats in us at twenty becomes sluggish. Our limbs fail, our senses rot. We degenerate into hideous puppets, haunted by the memory of the passions of which we were too much afraid, and the exquisite temptations that we had not the courage to yield to."
32,"I never approve, or disapprove, of anything now. It is an absurd attitude to take towards life. We are not sent into the world to air our moral prejudices. I never take any notice of what common people say, and I never interfere with what charming people do. If a personality fascinates me, whatever mode of expression that personality selects is absolutely delightful to me."
22,"Whenever a man does a thoroughly stupid thing, it is always from the noblest motives."
9,Because sometimes you have to do something bad to do something good.
48,People fashion their God after their own understanding. They make their God first and worship him afterwards.
63,I never travel without my diary. One should always have something sensational to read in the train.
17,"How clever you are, my dear! You never mean a single word you say."
17,They spoil every romance by trying to make it last forever.
12,"Lying, the telling of beautiful untrue things, is the proper aim of Art."
11,"It is through art, and through art only, that we can realise our perfection."
33,"For one moment our lives met, our souls touched."
6,"Sometimes, the unnecessary is necessary."
9,"If God wished to punish us, all he would need to do would be to answer our prayers."
42,"A map of the world that does not include Utopia is not worth even glancing at, for it leaves out the one country at which Humanity is always landing."
34,Popularity is the crown of laurel which the world puts on bad art. Whatever is popular is wrong.
8,"We live in an age that reads too much to be wise, and that thinks too much to be beautiful."
14,Popularity is the one insult I have never suffered.
43,"Behind joy and laughter there may be a temperament, coarse, hard and callous. But behind sorrow there is always sorrow. Pain, unlike pleasure, wears no mask. ... For this reason there is no truth comparable to sorrow. There are times when sorrow seems to me to be the only truth. Other things may be illusions of the eye or the appetite, made to blind the one and cloy the other, but out of sorrow have the worlds been built, and at the birth of a child or a star there is pain."
187,"Whenever one has anything unpleasant to say, one should always be quite candid."
8,The only excuse for making a useless thing is that one admires it intensely. All art is quite useless.
20,Arguments are to be avoided: they are always vulgar and often convincing.
60,Women have a wonderful instinct about things. They can discover everything except the obvious.
21,The moon in her chariot of pearl
35,Memory... is the diary that we all carry about with us.
48,"I am but too conscious of the fact that we are born in an age when only the dull are treated seriously, and I live in terror of not being misunderstood. Don't degrade me into the position of giving you useful information. Education is an admirable thing, but it is well to remember from time to time that nothing that is worth knowing can be taught."
36,"Talent borrows, genius steals!"
61,I have the simplest tastes. I am always satisfied with the best.
8,"Our ambition should be to rule ourselves, the true kingdom for each one of us; and true progress is to know more, and be more, and to do more."
14,"The best people to work for are me, myself and I."
41,"The optimist sees the donut, the pessimist sees the hole."
19,"The aim of love is to love. No more, no less."
6,It is better to repent a sin than regret the loss of a pleasure.
17,"I have found that all ugly things are made by those who strive to make something beautiful, and that all beautiful things are made by those who strive to make something useful."
33,The mystery of love is greater than the mystery of death.
35,"Do not be afraid of the past. If people tell you that it is irrevocable, do not believe them. The past, the present and the future are but one moment in the sight of God, in whose sight we should try to live. Time and space, succession and extension, are merely accidental conditions of thought. The imagination can transcend them."
37,"My dear boy, the people who love only once in their lives are really the shallow people. What they call their loyalty, and their fidelity, I call either the lethargy of custom or their lack of imagination.. Faithfulness is to the emotional life what consistency is to the life of the intellect---simply a confession of failures. Faithfulness! I must analyse it some day. The passion for property is in it. There are many things that we would throw away if we were not afraid that others might pick them up. But I don't want to interrupt you. Go on with your story."
29,In examinations the foolish ask questions that the wise cannot answer.
28,One should always be in love.
61,"My great mistake, the fault for which I can’t forgive myself, is that one day I ceased my obstinate pursuit of my own individuality."
16,I like talking to a brick wall- it's the only thing in the world that never contradicts me!
12,"I made your sorrow mine also, that you might have help in bearing it."
4,The story of mankind began in a garden and ended in revelations.
16,"If people were meant to be nude, they would have been born this way."
7,Most people are other people.
18,To be in love is to surpass one's self.
12,The one duty we owe to history is to rewrite it.
37,"After playing Chopin, I feel as if I had been weeping over sins that I had never committed, and mourning over tragedies that were not my own. Music always seems to me to produce that effect. It creates for one a past of which one has been ignorant, and fills one with a sense of sorrows that have been hidden from one’s tears."
45,"Beauty ...is of the great facts in the world like sunlight, or springtime, or the reflection in dark water of that silver shell we call the moon."
21,It is so easy to convince others; it is so difficult to convince oneself.
11,"In war,"" answered the weaver, ""the strong make slaves of the weak, and in peace the rich make slaves of the poor. We must work to live, and they give us such mean wages that we die. We toil for them all day long, and they heap up gold in their coffers, and our children fade away before their time, and the faces of those we love become hard and evil. We tread out the grapes, another drinks the wine. We sow the corn, and our own board is empty. We have chains, though no eye beholds them; and are slaves, though men call us free."
26,A true gentleman is one who is never intentionally rude.
31,The well bred contradict other people. The wise contradict themselves.
28,Sarcasm is the lowest form of wit.
8,It is awfully hard work doing nothing.
29,The nicest feeling in the world is to do a good deed anonymously-and have somebody find out.
12,Everything that is popular is wrong.
34,"I quite agree with Dr. Nordau's assertion that all men of genius are insane, but Dr. Nordau forgets that all sane people are idiots."
21,An idea that is not dangerous is unworthy of being called an idea at all.
52,The only thing that ever consoles man for the stupid things he does is the praise he always gives himself for doing them.
85,"After a good dinner one can forgive anybody, even one's own relations."
18,"The true perfection of man lies not in what man has, but in what man is."
4,"Lord AUGUSTUS:(looking around) Time to educate yourself, I suppose. DUMBY: No, time to forget all I have learned. That is much more important."
15,Most people live for love and admiration. But it is by love and admiration that we should live.
7,The husbands of very beautiful women belong to the criminal classes.
5,Each of us has heaven and hell in him.
11,"Humanity takes itself too seriously. It is the world's original sin. If the cave-man had known how to laugh, History would have been different."
37,She wore far too much rouge last night and not quite enough clothes. That is always a sign of despair in a woman.
22,"As one reads history ... one is absolutely sickened, not by the crimes that the wicked have committed, but by the punishments that the good have inflicted."
26,A man can't be too careful in the choice of his enemies.
17,I prefer women with a past. They're always so damned amusing to talk to.
11,A work of art is the unique result of a unique temperament. Its beauty comes from the fact that the author is what he is. It has nothing to do with the fact that other people want what they want.
28,Deceiving others. That is what the world calls a romance.
11,The one person who has more illusions than the dreamer is the man of action.
9,"Intuition is a strange instinct that tells a woman she is right, whether she is or not."
9,"When people talk to me about the weather, I always feel they mean something else."
31,"In fact, the whole of Japan is a pure invention. There is no such country, there are no such people.... The Japanese people are ... simply a mode of style, an exquisite fancy of art."
6,"We teach people how to remember, we never teach them how to grow."
65,Every woman is a rebel.
19,Where there is no love there is no understanding.
6,Only good questions deserve good answers.
18,"There is one thing infinitely more pathetic than to have lost the woman one is in love with, and that is to have won her and found out how shallow she is!"
9,Consistency is the hallmark of the unimaginative.
9,The imagination imitates. It is the critical spirit that creates.
11,"One can live for years sometimes without living at all, and then all life comes crowding into one single hour."
7,"Genius learns from nature, its own nature. Talent learns from art."
34,We Irish will never achieve anything; but we are the greatest talkers since the Greeks
28,"You love the beauty that you can see and touch and handle, the beauty that you can destroy, and do destroy, but of the unseen beauty of life, of the unseen beauty of a higher life, you know nothing."
30,"Mere color, unspoiled by meaning, and unallied with definite form, can speak to the soul in a thousand different ways."
38,"Wherever there is a man who exercises authority, there is a man who resists authority."
83,Keep love in your heart. A life without it is like a sunless garden when the flowers are dead.
19,The proper basis for marriage is a mutual misunderstanding.
6,I don't want to earn a living. I want to live.
22,The only way to get rid of temptation is to yield to it... I can resist everything but temptation.
17,"Finding the meaning of life is easy. Simply get a dictionary, go to the 'L' section, and find the word 'life.'"
42,"If you pretend to be good, the world takes you very seriously. If you pretend to be bad, it doesn't. Such is the astounding stupidity of optimism."
7,Time is a waste of money.
21,"Who, being loved, is poor?"
8,"I wrote when I did not know life;
now that I do know the meaning of life,
I have no more to write.
Life cannot be written; life can only be lived."
7,Every effect that one produces gives one an enemy. To be popular one must be a mediocrity.
10,A man who pays his bills on time is soon forgotten.
10,Good intentions are invariably ungrammatical.
8,It is what we fear that happens to us.
8,"One should absorb the colour of life, but one should never remember its details. Details are always vulgar."
14,"Most people die of a sort of creeping common sense, and discover when it is too late that the only things one never regrets are one's mistakes."
6,What is the good of friendship if one cannot say exactly what one means?
18,I treated Art as the supreme reality and life as a mere mode of fiction.
29,What is a cynic? A man who knows the price of everything and the value of nothing.
17,"Agitators are a set of interfering, meddling people, who come down to some perfectly contented class of the community and sow the seeds of discontent amongst them. That is the reason why agitators are so absolutely necessary. Without them, in our incomplete state, there would be no advance towards civilization."
14,"The aim of the liar is simply to charm, to delight, to give pleasure. He is the very basis of civilized society."
12,"Men become old, but they never become good."
41,Pleasure without Champagne is purely artificial.
6,I have nothing to declare except my genuis.
25,Indeed I have always been of the opinion that hard work is simply the refuge of people who have nothing to do.
10,One should always play fairly when one has the winning cards.
29,What the artist is always looking for is the mode of existence in which soul and body are one and indivisible: in which the outward is expressive of the inward: in which form reveals.
11,"The only way to behave to a woman is to make love to her if she is pretty, and to someone else if she is plain."
10,The reason we all like to think so well of others is that we are all afraid for ourselves. The basis of optimism is sheer terror.
5,Friendship never forgets. That is the wonderful thing about it.
8,Scandal is gossip made tedious by morality.
10,No work of art ever puts forward views.  Views belong to people who are not artists.
31,"Everything in moderation, including moderation."
22,Ignorance is like a delicate exotic fruit; touch it and the bloom is gone.
13,"You like every one; that is to say, you are indifferent to every one."
62,"If one cannot enjoy reading a book over and over again, there is no use in reading it at all."
24,"The public have an insatiable curiosity to know everything, except what is worth knowing."
17,Men always want to be a woman's first love - women like to be a man's last romance.
21,"Now, nothing should be able to harm a man except himself. Nothing should be able to rob a man at all. What a man really has, is what is in him. What is outside of him should be a matter of no importance."
18,I cannot choose one hundred best books because I have only written five
45,The public is wonderfully tolerant. It forgives everything except genius.
21,A work of art is the unique result of a unique temperament.
16,"Every one is worthy of love, except him who thinks that he is. Love is a sacrament that should be taken kneeling."
7,"Life is the art of being well deceived, and to succeed, it must be habitual and uninterrupted."
31,"Now it seems to me that love of some kind is the only possible explanation of the extraordinary amount of suffering that there is in the world. I cannot conceive of any other explanation. I am convinced that there is no other, and that if the world has indeed, as I have said, been built of sorrow, it has been built by the hands of love, because in no other way could the soul of man, for whom the world was made, reach the full stature of its perfection. Pleasure for the beautiful body, but pain for the beautiful soul."
8,Every little action of the common day makes or unmakes character.
16,Every man of ambition has to fight his century with its own weapons. What this century worships is wealth. The God of this century is wealth. To succeed one must have wealth. At all costs one must have wealth.
16,The difference between literature and journalism is that journalism is unreadable and literature is not read.
4,Nothing is good in moderation. You cannot know good in anything until you have torn the heart out of it by excess.
7,"The only way to even approach doing something perfectly is through experience, and experience is the name everyone gives to their mistakes."
15,"Never trust a woman who wears mauve, whatever her age may be, or a woman over thirty-five who is fond of pink ribbons."
7,Good intentions have been the ruin of the world. The only people who have achieved anything have been those who have had no intentions at all.
52,The evolution of man is slow. The injustice of men is great.
8,I am always astonishing myself. It is the only thing that makes life worth living.
3,"You can fake intelligence, but you can't fake wit."
10,Those who see any difference between soul and body have neither
26,The first duty in life is to be as artificial as possible.  What the second duty is no one has as yet discovered.
29,"The more one analyses people, the more all reasons for analysis disappear. Sooner or later one comes to that dreadful universal thing called human nature."
7,The past is of no importance. The present is of no importance. It is with the future that we have to deal. For the past is what man should not have been. The present is what man ought not to be. The future is what artists are.
32,"Veil after veil of thin dusky gauze is lifted, and by degrees the forms and colours of things are restored to them, and we watch the dawn remaking the world in its antique pattern."
33,"America had often been discovered before Columbus, but it had always been hushed up."
32,"You silly Arthur! If you knew anything about...anything, which you don't, you would know that I adore you. Everyone in London knows it except you. It is a public scandal the way I adore you. I have been going about for the last six months telling the whole of society that I adore you. I wonder you consent to have anything to say to me. I have no character left at all. At least, I feel so happy that I am quite sure I have no character left at all."
13,Friendship is far more tragic than love. It lasts longer.
10,"We can have in life but one great experience at best, and the secret of life is to reproduce that experience as often as possible."
8,No publisher should ever express an opinion of the value of what he publishes.  That is a matter entirely for the literary critic to decide.
15,"Do you really think it is weakness that yields to temptation? I tell you that there are terrible temptations which it requires strength, strength and courage to yield to."
8,Who am I to tamper with a masterpiece?
14,I put all my genius into my life; I put only my talent into my works.
54,Seriousness is the only refuge of the shallow.
17,When you really want love you will find it waiting for you.
10,A sentimentalist is simply one who desires to have the luxury of an emotion without paying for it.
10,"Prayer must never be answered: if it is, it ceases to be prayer and becomes correspondence."
15,A man who is master of himself can end a sorrow as easily as he can invent a pleasure.
18,I have said to you to speak the truth is a painful thing. To be forced to tell lies is much worse.
10,Rich bachelors should be heavily taxed. It is not fair that some men should be happier than others.
